# schema_version=growth_dislocation_universe.v2
# SPY holdings=As of 18-Aug-2026; source=https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spy.xlsx
# NDX retrieved_at=2026-08-20; source=https://www.nasdaq.com/products/global-indexes/nasdaq-100/companies
# IWM holdings=Aug 18, 2026; source=https://www.ishares.com/us/products/239710/ishares-russell-2000-etf/latest-holdings.csv
# classification=subindustry unavailable from official holdings; sector used as the explicit crowding fallback
# growth_theme=curated issuer-level optionality taxonomy; blank is not a negative sector judgment
symbol,provider_symbol,company,sector,subindustry,classification_level,sector_benchmark,memberships,growth_theme
ANRO,ANRO,ALTO NEUROSCIENCE INC,Health Care,Health Care,sector,XLV,IWM
ANTX,ANTX,AN2 THERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
AOMR,AOMR,ANGEL OAK MORTGAGE REIT,Financials,Financials,sector,XLF,IWM
AON,AON,AON PLC CLASS A,Financials,Financials,sector,XLF,SPY
AORT,AORT,ARTIVION INC,Health Care,Health Care,sector,XLV,IWM
AOS,AOS,SMITH (A.O.) CORP,Industrials,Industrials,sector,XLI,SPY
AOSL,AOSL,ALPHA AND OMEGA SEMICONDUCTOR,Information Technology,Information Technology,sector,IWM,IWM
AP,AP,AMPCO PITTSBURGH CORP,Materials,Materials,sector,XLB,IWM
APA,APA,APA CORP,Energy,Energy,sector,XLE,SPY
APAM,APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials,Financials,sector,XLF,IWM
APC,APC,ARKO PETROLEUM CORP CLASS A,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
APD,APD,AIR PRODUCTS + CHEMICALS INC,Materials,Materials,sector,XLB,SPY
APEI,APEI,AMERICAN PUBLIC EDUCATION,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
APGE,APGE,APOGEE THERAPEUTICS,Health Care,Health Care,sector,XLV,IWM
APH,APH,AMPHENOL CORP CL A,Technology,Technology,sector,XLK,SPY
APLE,APLE,APPLE HOSPITALITY REIT INC,Real Estate,Real Estate,sector,XLRE,IWM
APO,APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Financials,sector,XLF,SPY
APOG,APOG,APOGEE ENTERPRISES INC,Industrials,Industrials,sector,XLI,IWM
APP,APP,APPLOVIN CORP CLASS A,Communication Services,Communication Services,sector,XLC,NDX|SPY
APPN,APPN,APPIAN CORP CLASS A,Information Technology,Information Technology,sector,IWM,IWM
APPS,APPS,DIGITAL TURBINE,Information Technology,Information Technology,sector,IWM,IWM
APTV,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,sector,XLY,SPY
AQST,AQST,AQUESTIVE THERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
ARCB,ARCB,ARCBEST,Industrials,Industrials,sector,XLI,IWM
ARCT,ARCT,ARCTURUS THERAPEUTICS HOLDINGS INC,Health Care,Health Care,sector,XLV,IWM
ARDT,ARDT,ARDENT HEALTH INC,Health Care,Health Care,sector,XLV,IWM
ARDX,ARDX,ARDELYX,Health Care,Health Care,sector,XLV,IWM
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT,Real Estate,Real Estate,sector,XLRE,SPY
AREC,AREC,AMERICAN RESOURCES CORP CLASS A,Energy,Energy,sector,XLE,IWM
ARES,ARES,ARES MANAGEMENT CORP   A,Financials,Financials,sector,XLF,SPY
ARHS,ARHS,ARHAUS INC CLASS A,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
ARKO,ARKO,ARKO,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
ARL,ARL,AMERICAN REALTY INVESTORS INC,Real Estate,Real Estate,sector,XLRE,IWM
ARLO,ARLO,ARLO TECHNOLOGIES,Information Technology,Information Technology,sector,IWM,IWM
ARM,ARM,Arm Holdings plc American Depositary Shares,Unknown,Unknown,fallback,QQQ,NDX
ARMP,ARMP,ARMATA PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
AROC,AROC,ARCHROCK,Energy,Energy,sector,XLE,IWM
